,Country,Years,Total final energy consumption (TFEC) (TJ) [1.1_TOTAL.FINAL.ENERGY.CONSUM],Total electricity output (GWh) [4.1.1_TOTAL.ELECTRICITY.OUTPUT],Energy intensity level of primary energy (MJ/2011 USD PPP) [6.1_PRIMARY.ENERGY.INTENSITY],Renewable electricity share of total electricity output (%) [4.1_SHARE.RE.IN.ELECTRICITY],Renewable energy share of TFEC (%) [2.1_SHARE.TOTAL.RE.IN.TFEC],Renewable share electricity production,Wind and solar share electricity production%,Electricity generation TWh,Electricity generation from other TWh,Renewable Energy Geothermal (Installed capacity)MW,Renewable Energy Solar (Installed capacity) MW,Renewable Energy Wind  (Installed capacity) MW,Primary Energy: Consumption EJ,Renewables:Consumption EJ,WEB Services Energy Indicators indexed,Renewable installed PV Power GW,Renewable installed Wind Power GW
53,United States,2002,57240371.73,4026399,7.082367871,8.646361178,4.840779184,9.2,0.66,4111.775538,13.97548879,2252.0,28.0,4417.0,94.23901794,0.996221274,,0.212,4.674
54,United States,2003,58069490.9,4054649,6.904967491,8.889376121,5.326282274,9.49,0.69,4137.978842,14.545181,2133.0,73.0,5995.0,94.53503322,1.058536199,,0.275,6.374
55,United States,2004,58840911.06,4148080,6.790206059,8.630185532,5.477656518,9.22,0.75,4231.682747,14.75084734,2152.0,111.0,6456.0,96.39671419,1.152707468,,0.376,6.725
56,United States,2005,58889188.25,4268887,6.60173784,8.578465534,5.841090873,9.12,0.85,4322.786632,13.35915624,2285.0,190.0,8706.0,96.43731384,1.241083165,90.0,0.479,9.149
57,United States,2006,58707586.93,4275011,6.369407404,9.244631183,6.396513971,9.79,1.06,4330.951641,13.52413552,2274.0,295.0,11329.0,95.65836227,1.468457098,,0.624,11.603
58,United States,2007,59567475.18,4323915,6.367571447,8.367763936,6.304128198,8.91,1.25,4431.837021,12.7020304,2214.0,455.0,16515.0,96.99645751,1.6794945419999998,,0.831,16.664
59,United States,2008,58277353.04,4342980,6.22245169,9.003541347,6.845540835,9.53,1.73,4390.106117,12.28199821,2229.0,753.0,24651.0,94.60071171,2.107576808,,1.169,25.17
60,United States,2009,55341324.5,4165395,6.084563271,10.29184507,7.354404755,10.78,2.25,4206.493361,12.52409457,2382.0,1188.0,34296.0,89.92401795,2.394483978,,1.616,35.068000000000005
61,United States,2010,57655200.55,4354363,6.072479221,10.12035515,7.505172055,10.61,2.75,4394.2509850000015,13.46426351,2405.0,2040.0,39135.0,92.97258881,2.756646249,86.0,2.04,40.18
62,United States,2011,57123701.65,4326635,5.90983675,12.22571352,8.164451646,12.69,3.43,4363.377155,14.80104819,2409.0,3382.0,45676.0,92.08836192,3.090966438,,3.96,46.919
63,United States,2012,56628804.85,4270884,5.692995246,12.00739706,8.481450408,12.41,4.06,4310.5692020000015,14.50250746,2592.0,7328.0,59075.0,89.68776503,3.325099805,,7.33,60.007
64,United States,2013,57984073.56,4287114,5.676035631,12.63791912,8.713261573,13.03,4.84,4330.292888,14.30566562,2607.0,13045.0,59973.0,92.09548018,3.756286027,,12.08,61.11
65,United States,2014,59116385.16,4319156,5.621145713,12.95382709,8.754308954,13.36,5.34,4363.326407000001,14.07183718,2514.0,17651.0,64232.0,93.05416796,4.039290073,,18.32,65.87899999999999
66,United States,2015,58483061.91,4297048,5.40839254,13.22859321,8.716935867,13.63,5.86,4348.66944,14.75186233,2542.0,23442.0,72573.02,92.14900449,4.248824689,81.0,25.67,73.991
67,United States,2016,..,..,..,..,..,15.42,7.07,4347.910814,14.35359482,2517.0,34716.0,81286.0,92.017799,4.807667392,79.0,41.0,82.184
68,Germany,2017,,,,,,33.98,22.25,653.6547,26.7438,32.0,42293.0,55580.0,13.78398327,1.8804271,78.0,42.5,56.164
69,United States,2017,,,,,,17.66,8.41,4302.539017,13.68882154,2483.0,43115.0,87597.0,92.33052485,5.239283385,76.0,51.8,88.927
70,China,2017,,,,,,25.97,6.77,6604.446999999999,46.185796,25.75,130822.29,164374.47699999998,130.8317338,4.614891492,,131.1,187.73
71,India,2017,,,,,,16.29,5.11,1473.759284,0.174565,,18151.756,32848.46,31.33455098,0.896848317,,0.0,32.879
72,United States,2018,,,,,,,,4457.415464,13.61973135,,53183.5,94417.4,95.60291901,5.503935603,76.0,62.5,96.52
73,Germany,2018,,,,,,,,643.45,26.848000000000006,,45181.0,58843.0,13.43934242,1.969729173,71.0,45.5,59.31
74,China,2018,,,,,,,,7166.133000000002,49.79163345,,175236.86399999994,184664.877,135.7706969,5.805105805,,175.4,210.25
75,India,2018,,,,,,,,1551.4415,0.20623,,27355.324,35288.1,33.30179358,1.103764111,,0.0,35.13
76,United States,2019,,,,,,,,4401.2994020000015,13.960466699999998,,62297.9,103584.2,94.64880404,5.82855475,,75.9,105.57
77,Germany,2019,,,,,,,,612.3973249,25.7313434,,48962.0,60822.0,13.13989997,2.117453837,,49.2,61.4
78,China,2019,,,,,,,,7503.428000000001,56.52613264,,205493.165,210478.38,141.699218,6.627562038,,204.7,236.4
79,India,2019,,,,,,,,1558.708662,0.191505,,35059.884,37505.18,34.05951446,1.2075054159999998,,42.8,37.51
