,Year,Country,Asset investment in renewables,Electricity Consumption,Electricity generation,Electricity generation from other,Electricity Production,Energy intensity-primary energy,Primary Energy-Consumption,Renewables-Consumption Prim Energy,Renewable Energy Solar (Installed capacity),Renewable Energy Wind  (Installed capacity),Renewable installed PV Power,Renewable installed Wind Power,Renewable share electricity output,Renewable share electricity production,Renewable share energy of TFEC,Total electricity output,Total final energy consumption (TFEC),Wind and solar share electricity production,Government R&D,Corporate R&D,Venture capital,Private equity expansion capital,Public markets,Asset finance,Asset Finance minus Re-invested equity,Small distributed capacity,Private equity buy-outs,Public markets investor exits,Corporate M&A,Project acquisition & refinancing,Total: M&A/ buy-outs etc.,Number of policies
23,2009,United States,15.1,3725.0,4206.493361,12.52409457,4188.0,6.084563271,89.92401795,2.3944839780000002,435.0,9645.0,0.44699999999999984,9.898000000000003,10.29184507,10.78,7.354404755,4165395.0,55341324.5,2.25,1.296,0.7919999999999999,0.384,0.72,2.8080000000000003,26.831999999999997,25.944000000000006,8.328000000000001,0.456,0.5760000000000001,5.376,8.376,14.76,11.0
24,2010,China,35.0,3626.0,4207.16,19.851860000000002,4208.0,8.679178537,104.2840024,0.768616625,607.0,12034.07,0.5,16.482,18.62282605,18.83,12.88431031,4197204.0,61093297.29,1.08,0.441,0.342,0.23399999999999999,0.477,0.954,13.698,13.536,5.481,0.171,0.4320000000000001,1.6829999999999998,2.88,5.156999999999999,13.0
25,2010,Germany,37.1,547.0,633.0930000000002,26.4293,633.0,4.115335557,13.70618966,0.905880564,7440.0,1171.0,7.411000000000001,1.4370000000000047,16.72707367,17.57,10.29351964,626583.0,8638160.04,8.19,0.245,0.19,0.13,0.265,0.53,7.6099999999999985,7.52,3.045,0.095,0.24,0.935,1.6,2.865,11.0
26,2010,India,6.4,727.0,937.4680375,0.0,979.0,5.3531792419999995,22.55470758,0.31827361,11.7,2259.0,0.0,2.1390000000000007,16.04374444,16.04,39.48150873,979416.0,18684425.28,2.02,0.147,0.114,0.078,0.159,0.318,4.566,4.512,1.827,0.057,0.14400000000000002,0.5609999999999999,0.96,1.719,11.0
27,2010,United States,27.2,3894.0,4394.2509850000015,13.46426351,4378.0,6.072479221,92.97258881,2.7566462489999997,852.0,4839.0,0.42400000000000015,5.111999999999996,10.12035515,10.61,7.505172055,4354363.0,57655200.55,2.75,1.1270000000000002,0.8740000000000001,0.5980000000000001,1.219,2.438,35.006,34.59200000000001,14.007,0.4370000000000001,1.104,4.301,7.36,13.179,11.0
28,2011,China,39.9,4052.0,4713.019,21.669,4716.0,8.502319501,112.54080829999998,1.049599256,2086.0,16721.122,2.5,20.446000000000005,16.76177043,16.95,11.69579699,4704861.0,65459079.1,1.55,0.48,0.43,0.26,0.24,0.99,18.96,18.75,7.51,0.29,0.020000000000000004,2.9600000000000004,4.23,7.5,12.0
29,2011,Germany,35.3,541.0,613.070326,25.3062,613.0,3.773036713,13.20216248,1.112391585,7910.0,1809.0,7.489999999999997,1.8459999999999963,20.38328272,21.14,11.39435591,607228.0,8211583.065,11.55,0.24,0.215,0.13,0.12,0.4950000000000001,9.48,9.375,3.755,0.145,0.010000000000000002,1.4800000000000002,2.115,3.75,12.0
30,2011,India,11.2,803.0,1034.011325,0.0,1075.0,5.232985711,23.88045003,0.39399554200000003,26.00000000000001,2995.0,0.0,3.019,17.31696286,17.32,38.93174021,1074536.0,19401668.04,2.36,0.096,0.086,0.052000000000000005,0.048,0.198,3.792,3.75,1.5019999999999998,0.057999999999999996,0.004,0.5920000000000001,0.846,1.5,12.0
31,2011,United States,45.3,3885.0,4363.377155,14.80104819,4349.0,5.90983675,92.08836192,3.090966438,1342.0,6541.0,1.92,6.738999999999997,12.22571352,12.69,8.164451646,4326635.0,57123701.65,3.43,1.008,0.903,0.546,0.504,2.079,39.816,39.375,15.770999999999999,0.609,0.042,6.216,8.883,15.75,12.0
32,2012,China,55.0,4326.0,4987.553,20.279889999999998,4994.0,8.190299441,117.04535020000002,1.356393533,3611.0,15242.273000000001,3.7,12.590999999999996,19.96624894,20.12,11.96856703,4984731.0,67426526.34,2.05,0.517,0.451,0.264,0.17600000000000002,0.418,18.711,18.392,7.689000000000001,0.33,0.044000000000000004,1.023,5.83,7.227,13.0
33,2012,Germany,26.3,540.0,630.149,26.1096,630.0,3.771810715,13.36885139,1.252520955,8160.0,2267.0,7.600000000000001,2.210000000000001,23.00045854,23.75,12.01513573,623718.0,8300447.226,12.56,0.235,0.205,0.12,0.08000000000000003,0.19,8.505,8.36,3.495000000000001,0.15000000000000002,0.020000000000000004,0.4650000000000001,2.6500000000000004,3.285,14.0
34,2012,India,6.5,839.0,1091.837883,0.0,1123.0,5.199643316,25.11341421,0.460993993,500.4,1120.7000000000007,0.0,2.3369999999999997,15.73297336,15.73,38.39089015,1123049.0,19869435.09,2.87,0.094,0.08199999999999999,0.048,0.032,0.076,3.402,3.344,1.3980000000000001,0.06,0.008,0.18600000000000005,1.06,1.314,13.0
35,2012,United States,35.0,3831.0,4310.5692020000015,14.50250746,4291.0,5.6929952460000015,89.68776503,3.325099805,3946.0,13399.0,3.37,13.088,12.00739706,12.41,8.481450407999999,4270884.0,56628804.85,4.06,1.034,0.902,0.528,0.35200000000000004,0.836,37.422,36.784,15.378000000000002,0.66,0.08800000000000001,2.0460000000000003,11.66,14.454,13.0
36,2013,China,61.2,4718.0,5431.635,22.9827266,5447.0,7.851333802999999,121.37465690000002,1.795909085,11040.0,15133.657,12.72,16.088000000000008,20.29622738,20.45,11.838166900000001,5436567.0,69906541.02,2.88,0.624,0.48,0.096,0.156,1.176,20.58,20.436,4.824,0.06,0.204,1.944,5.8439999999999985,8.04,15.0
37,2013,Germany,13.4,537.0,638.73,26.18,639.0,3.831755977,13.74595931,1.306625139,2634.0,2498.0,3.3100000000000023,2.9800000000000004,24.07254975,24.76,12.08907875,632945.0,8524131.747000001,13.24,0.26,0.2,0.04000000000000002,0.065,0.4900000000000001,8.575000000000001,8.515,2.01,0.025,0.085,0.81,2.4350000000000005,3.35,14.0
38,2013,India,4.6,890.0,1146.139133,0.0,1191.0,4.98862544,26.076945199999997,0.518092339,360.20000000000016,1120.7000000000007,0.0,1.7289999999999992,17.34931383,17.35,37.84984118,1193480.0,20586036.18,3.07,0.10400000000000001,0.08,0.016,0.026000000000000002,0.196,3.43,3.406,0.804,0.01,0.034,0.324,0.9740000000000001,1.34,14.0
39,2013,United States,29.1,3873.0,4330.292888,14.30566562,4306.0,5.676035631,92.09548018,3.756286027,5717.0,898.0,4.75,1.1030000000000015,12.63791912,13.03,8.713261572999999,4287114.0,57984073.56,4.84,1.1440000000000001,0.88,0.17600000000000002,0.28600000000000003,2.156,37.73,37.466,8.844000000000003,0.11,0.374,3.564,10.714,14.74,14.0
40,2014,China,86.69999999999996,4939.0,5794.4569999999985,26.14633,5679.0,7.104220001,124.19793290000001,2.238405372,10640.0,20088.600000000006,10.66,23.350999999999985,22.60915378,22.79,12.22382301,5665745.0,71536310.66,3.27,0.585,0.5589999999999999,0.13,0.221,1.937,29.692,29.237,4.771000000000001,0.5329999999999999,0.20800000000000002,1.456,9.347000000000001,11.544,17.0
41,2014,Germany,18.7,526.0,627.7651017999998,26.913,628.0,3.640399424,13.16627917,1.429576037,1189.0,5137.0,2.479999999999997,4.914999999999999,26.13009657,26.82,13.37887823,621938.0,8130876.006,15.22,0.225,0.215,0.05,0.085,0.7450000000000001,11.420000000000002,11.245,1.835,0.205,0.08000000000000003,0.5599999999999999,3.5950000000000006,4.44,15.0
42,2014,India,6.1,963.0,1262.2199679999999,0.2068,1294.0,4.960149499,27.86167507,0.5798712429999999,2746.508,4044.8999999999987,0.0,2.3150000000000013,16.25383982,16.25,36.65183786,1287398.0,21562801.38,3.27,0.135,0.129,0.03,0.051,0.447,6.852,6.747000000000001,1.101,0.12299999999999996,0.048,0.336,2.157,2.6639999999999997,15.0
43,2014,United States,31.7,3894.0,4363.326407000001,14.07183718,4339.0,5.621145713,93.05416796,4.039290073,4606.0,4259.0,6.24,4.768999999999991,12.95382709,13.36,8.754308953999999,4319156.0,59116385.16,5.34,0.99,0.946,0.22,0.374,3.278,50.24800000000001,49.478,8.074,0.902,0.35200000000000004,2.464,15.818,19.535999999999998,15.0
44,2015,China,118.0,5104.0,5814.573,26.783590000000004,5860.0,6.690069702000001,125.3768906,2.623551642,15150.000000000005,34228.599999999984,13.150000000000002,30.597000000000023,23.92681717,24.13,12.41335257,5844158.0,73183146.53,3.94,0.66,0.6149999999999999,0.21,0.27,1.7999999999999998,40.155,39.15,4.89,0.54,0.225,2.76,12.69,16.215,16.0
45,2015,Germany,14.0,528.0,648.1492806,27.13520869,647.0,3.603094155,13.39985761,1.659035721,1324.0,5966.0,1.4600000000000009,5.7760000000000025,29.23177012,29.88,14.2062527,640967.0,8327614.785,18.53,0.17600000000000002,0.16399999999999998,0.055999999999999994,0.07200000000000001,0.48,10.708,10.44,1.304,0.14400000000000002,0.06,0.736,3.384,4.324,16.0
46,2015,India,7.5,1032.0,1317.2981300000001,0.137685,1383.0,4.730910449,28.77081861,0.5973143329999999,1920.9760000000006,2622.8899999999994,0.0,2.623000000000001,15.34305035,15.34,36.02122257,1383004.0,22241457.76,3.5,0.132,0.12299999999999996,0.042,0.054000000000000006,0.36,8.030999999999999,7.83,0.978,0.108,0.045,0.5519999999999999,2.5380000000000003,3.2430000000000003,16.0
47,2015,United States,37.40000000000001,3895.0,4348.66944,14.75186233,4317.0,5.40839254,92.14900449,4.248824689,5791.0,8341.020000000004,7.350000000000001,8.112000000000009,13.22859321,13.63,8.716935867,4297048.0,58483061.91,5.86,1.056,0.9840000000000001,0.336,0.4320000000000001,2.88,64.24799999999999,62.64,7.824,0.8640000000000001,0.36,4.416,20.304,25.944000000000006,16.0
