,Country,Year,Government R&D,Corporate R&D,Venture capital,Private equity expansion capital,Public markets,Asset finance,Asset Finance minus Re-invested equity,Small distributed capacity,Private equity buy-outs,Public markets investor exits,Corporate M&A,Project acquisition & refinancing,Total: M&A/ buy-outs etc.
36,Germany,2016,0.255,0.215,0.04000000000000001,0.085,0.31000000000000005,12.375,12.170000000000002,1.625,0.16000000000000003,0.32000000000000006,1.475,4.74,6.695
37,Germany,2017,0.255,0.34500000000000003,0.04000000000000001,0.034999999999999996,0.27999999999999997,13.630000000000003,13.485,2.125,0.53,0.13999999999999999,0.665,5.98,7.31
38,Germany,2018,0.275,0.39,0.010000000000000002,0.11000000000000001,0.30000000000000004,12.100000000000001,11.81,1.9100000000000001,0.65,0.005000000000000001,0.73,6.19,7.575
39,Germany,2019,0.228,0.308,0.008,0.07200000000000001,0.264,9.204,9.068,2.084,0.128,0.0,0.5479999999999999,3.352,4.0280000000000005
40,India,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,India,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,India,2002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,India,2003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,India,2004,0.038,0.038,0.008,0.006,0.006,0.642,0.64,0.16,0.016,0.008,0.044000000000000004,0.102,0.17
45,India,2005,0.04,0.038,0.012,0.02,0.07200000000000001,1.0,0.996,0.20199999999999999,0.07400000000000001,0.046,0.152,0.25,0.524
46,India,2006,0.044000000000000004,0.044000000000000004,0.024,0.057999999999999996,0.17800000000000002,1.584,1.54,0.18,0.036000000000000004,0.052000000000000005,0.20600000000000002,0.374,0.668
47,India,2007,0.054000000000000006,0.046,0.042,0.07,0.394,2.126,2.064,0.278,0.066,0.078,0.396,0.598,1.138
48,India,2008,0.055999999999999994,0.066,0.066,0.134,0.21,2.67,2.582,0.444,0.102,0.018000000000000002,0.33,0.716,1.166
49,India,2009,0.10800000000000001,0.066,0.032,0.06,0.23399999999999999,2.236,2.162,0.6940000000000001,0.038,0.048,0.44799999999999995,0.698,1.23
50,India,2010,0.147,0.11399999999999999,0.078,0.159,0.318,4.566,4.512,1.827,0.056999999999999995,0.144,0.5609999999999999,0.96,1.7189999999999999
51,India,2011,0.096,0.086,0.052000000000000005,0.048,0.198,3.792,3.75,1.502,0.057999999999999996,0.004,0.5920000000000001,0.846,1.5
52,India,2012,0.094,0.08199999999999999,0.048,0.032,0.076,3.402,3.344,1.3980000000000001,0.06,0.008,0.18600000000000003,1.06,1.314
53,India,2013,0.10400000000000001,0.08,0.016,0.026000000000000002,0.196,3.43,3.406,0.804,0.01,0.034,0.324,0.9740000000000001,1.34
54,India,2014,0.135,0.129,0.03,0.051,0.447,6.852,6.747,1.101,0.12299999999999998,0.048,0.33599999999999997,2.157,2.6639999999999997
55,India,2015,0.132,0.12299999999999998,0.041999999999999996,0.054,0.36,8.030999999999999,7.83,0.978,0.108,0.045,0.5519999999999999,2.538,3.243
56,India,2016,0.153,0.129,0.024,0.051,0.186,7.425,7.302,0.975,0.096,0.192,0.885,2.844,4.017
57,India,2017,0.153,0.207,0.024,0.020999999999999998,0.16799999999999998,8.178,8.091,1.275,0.318,0.08399999999999999,0.399,3.5879999999999996,4.385999999999999
