,Country,Year,Government R&D,Corporate R&D,Venture capital,Private equity expansion capital,Public markets,Asset finance,Asset Finance minus Re-invested equity,Small distributed capacity,Private equity buy-outs,Public markets investor exits,Corporate M&A,Project acquisition & refinancing,Total: M&A/ buy-outs etc.,Number of policies
23,Germany,2003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
24,Germany,2004,0.114,0.114,0.024,0.018000000000000002,0.018000000000000002,1.926,1.92,0.48,0.048,0.024,0.132,0.306,0.51,0
25,Germany,2005,0.12,0.114,0.036000000000000004,0.06,0.21600000000000003,3.0,2.9879999999999995,0.606,0.222,0.13799999999999998,0.456,0.75,1.5719999999999998,2
26,Germany,2006,0.132,0.132,0.07200000000000001,0.174,0.534,4.752,4.62,0.54,0.10800000000000001,0.156,0.618,1.122,2.004,1
27,Germany,2007,0.162,0.13799999999999998,0.126,0.21,1.182,6.377999999999999,6.192,0.8340000000000001,0.198,0.234,1.188,1.7939999999999998,3.414,1
28,Germany,2008,0.16799999999999998,0.198,0.198,0.402,0.63,8.01,7.745999999999999,1.332,0.306,0.054000000000000006,0.99,2.148,3.498,1
29,Germany,2009,0.324,0.198,0.096,0.18,0.7020000000000001,6.707999999999998,6.486000000000001,2.0820000000000003,0.114,0.14400000000000002,1.344,2.094,3.69,3
30,Germany,2010,0.245,0.19,0.13,0.265,0.53,7.6099999999999985,7.52,3.045,0.095,0.24,0.935,1.6,2.865,0
31,Germany,2011,0.24,0.215,0.13,0.12,0.4950000000000001,9.48,9.375,3.755,0.145,0.010000000000000002,1.4800000000000002,2.115,3.75,1
32,Germany,2012,0.235,0.205,0.12,0.08000000000000003,0.19,8.505,8.36,3.495000000000001,0.15000000000000002,0.020000000000000004,0.4650000000000001,2.6500000000000004,3.285,2
33,Germany,2013,0.26,0.2,0.040000000000000015,0.065,0.4900000000000001,8.575000000000001,8.515,2.01,0.025,0.085,0.81,2.4350000000000005,3.35,1
34,Germany,2014,0.225,0.215,0.05,0.085,0.7450000000000001,11.420000000000002,11.245,1.835,0.205,0.08000000000000003,0.5599999999999999,3.5950000000000006,4.44,2
35,Germany,2015,0.17600000000000002,0.16399999999999998,0.056,0.07200000000000001,0.48,10.708,10.44,1.304,0.14400000000000002,0.06,0.736,3.384,4.324,1
